time,gibbs,gibbs,,
266,0.154453477,0.453058393,-1.2326E-05,-0.000354174
267,0.154453476,0.453049827,-1.2327E-05,-0.00036274
268,0.154453476,0.453041042,-1.2327E-05,-0.000371525
269,0.154453476,0.453032033,-1.2327E-05,-0.000380534
270,0.154453476,0.453022793,-1.2327E-05,-0.000389774
271,0.154453475,0.453013317,-1.2328E-05,-0.00039925
272,0.154453475,0.453003598,-1.2328E-05,-0.000408969
273,0.154453475,0.45299363,-1.2328E-05,-0.000418937
274,0.154453475,0.452983405,-1.2328E-05,-0.000429162
275,0.154453475,0.452972917,-1.2328E-05,-0.00043965
276,0.154453474,0.452962159,-1.2329E-05,-0.000450408
277,0.154453474,0.452951123,-1.2329E-05,-0.000461444
278,0.154453474,0.452939802,-1.2329E-05,-0.000472765
279,0.154453474,0.452928188,-1.2329E-05,-0.000484379
280,0.154453473,0.452916273,-1.233E-05,-0.000496294
281,0.154453473,0.452904049,-1.233E-05,-0.000508518
282,0.154453473,0.452891507,-1.233E-05,-0.00052106
283,0.154453473,0.452878638,-1.233E-05,-0.000533929
284,0.154453472,0.452865434,-1.2331E-05,-0.000547133
285,0.154453472,0.452851884,-1.2331E-05,-0.000560683
286,0.154453472,0.45283798,-1.2331E-05,-0.000574587
287,0.154453472,0.452823712,-1.2331E-05,-0.000588855
288,0.154453471,0.452809068,-1.2332E-05,-0.000603499
289,0.154453471,0.45279404,-1.2332E-05,-0.000618527
290,0.154453471,0.452778615,-1.2332E-05,-0.000633952
291,0.154453471,0.452762783,-1.2332E-05,-0.000649784
292,0.154453471,0.452746532,-1.2332E-05,-0.000666035
293,0.15445347,0.452729851,-1.2333E-05,-0.000682716
294,0.15445347,0.452712726,-1.2333E-05,-0.000699841
295,0.15445347,0.452695145,-1.2333E-05,-0.000717422
296,0.15445347,0.452677096,-1.2333E-05,-0.000735471
297,0.154453469,0.452658564,-1.2334E-05,-0.000754003
298,0.154453469,0.452639536,-1.2334E-05,-0.000773031
299,0.154453469,0.452619997,-1.2334E-05,-0.00079257
300,0.154453469,0.452599932,-1.2334E-05,-0.000812635
301,0.154453469,0.452579326,-1.2334E-05,-0.000833241
302,0.154453468,0.452558163,-1.2335E-05,-0.000854404
303,0.154453468,0.452536426,-1.2335E-05,-0.000876141
304,0.154453468,0.452514099,-1.2335E-05,-0.000898468
305,0.154453468,0.452491165,-1.2335E-05,-0.000921402
306,0.154453467,0.452467604,-1.2336E-05,-0.000944963
307,0.154453467,0.452443398,-1.2336E-05,-0.000969169
308,0.154453467,0.452418528,-1.2336E-05,-0.000994039
309,0.154453467,0.452392973,-1.2336E-05,-0.001019594
310,0.154453467,0.452366714,-1.2336E-05,-0.001045853
311,0.154453466,0.452339728,-1.2337E-05,-0.001072839
312,0.154453466,0.452311993,-1.2337E-05,-0.001100574
313,0.154453466,0.452283486,-1.2337E-05,-0.001129081
314,0.154453466,0.452254183,-1.2337E-05,-0.001158384
315,0.154453466,0.45222406,-1.2337E-05,-0.001188507
316,0.154453465,0.452193091,-1.2338E-05,-0.001219476
317,0.154453465,0.45216125,-1.2338E-05,-0.001251317
318,0.154453465,0.452128509,-1.2338E-05,-0.001284058
319,0.154453465,0.452094839,-1.2338E-05,-0.001317728
320,0.154453464,0.452060212,-1.2339E-05,-0.001352355
321,0.154453464,0.452024596,-1.2339E-05,-0.001387971
322,0.154453464,0.451987959,-1.2339E-05,-0.001424608
323,0.154453464,0.45195027,-1.2339E-05,-0.001462297
324,0.154453464,0.451911493,-1.2339E-05,-0.001501074
325,0.154453463,0.451871594,-1.234E-05,-0.001540973
326,0.154453463,0.451830535,-1.234E-05,-0.001582032
327,0.154453463,0.451788278,-1.234E-05,-0.001624289
328,0.154453463,0.451744784,-1.234E-05,-0.001667783
329,0.154453463,0.451700012,-1.234E-05,-0.001712555
330,0.154453462,0.451653917,-1.2341E-05,-0.00175865
331,0.154453462,0.451606457,-1.2341E-05,-0.00180611
332,0.154453462,0.451557584,-1.2341E-05,-0.001854983
333,0.154453462,0.45150725,-1.2341E-05,-0.001905317
334,0.154453462,0.451455406,-1.2341E-05,-0.001957161
335,0.154453461,0.451401999,-1.2342E-05,-0.002010568
336,0.154453461,0.451346976,-1.2342E-05,-0.002065591
337,0.154453461,0.451290278,-1.2342E-05,-0.002122289
338,0.154453461,0.451231848,-1.2342E-05,-0.002180719
339,0.154453461,0.451171625,-1.2342E-05,-0.002240942
340,0.15445346,0.451109544,-1.2343E-05,-0.002303023
341,0.15445346,0.451045539,-1.2343E-05,-0.002367028
342,0.15445346,0.450979541,-1.2343E-05,-0.002433026
343,0.15445346,0.450911478,-1.2343E-05,-0.002501089
344,0.15445346,0.450841273,-1.2343E-05,-0.002571294
345,0.154453459,0.450768848,-1.2344E-05,-0.002643719
346,0.154453459,0.450694121,-1.2344E-05,-0.002718446
347,0.154453459,0.450617007,-1.2344E-05,-0.00279556
348,0.154453459,0.450537415,-1.2344E-05,-0.002875152
349,0.154453459,0.450455252,-1.2344E-05,-0.002957315
350,0.154453458,0.45037042,-1.2345E-05,-0.003042147
351,0.154453458,0.450282817,-1.2345E-05,-0.00312975
352,0.154453458,0.450192336,-1.2345E-05,-0.003220231
353,0.154453458,0.450098864,-1.2345E-05,-0.003313703
354,0.154453458,0.450002286,-1.2345E-05,-0.003410281
355,0.154453457,0.449902478,-1.2346E-05,-0.003510089
356,0.154453457,0.449799312,-1.2346E-05,-0.003613255
357,0.154453457,0.449692653,-1.2346E-05,-0.003719914
358,0.154453457,0.449582361,-1.2346E-05,-0.003830206
359,0.154453457,0.449468288,-1.2346E-05,-0.003944279
360,0.154453456,0.449350279,-1.2347E-05,-0.004062288
361,0.154453456,0.449228171,-1.2347E-05,-0.004184396
362,0.154453456,0.449101795,-1.2347E-05,-0.004310772
363,0.154453456,0.448970971,-1.2347E-05,-0.004441596
364,0.154453456,0.448835512,-1.2347E-05,-0.004577055
365,0.154453455,0.448695219,-1.2348E-05,-0.004717348
366,0.154453455,0.448549887,-1.2348E-05,-0.00486268
367,0.154453455,0.448399296,-1.2348E-05,-0.005013271
368,0.154453455,0.448243218,-1.2348E-05,-0.005169349
369,0.154453455,0.448081412,-1.2348E-05,-0.005331155
370,0.154453454,0.447913624,-1.2349E-05,-0.005498943
371,0.154453454,0.447739586,-1.2349E-05,-0.005672981
